Country_Region,Confirmed,Deaths,Incident_Rate
India,99370,1182,8577.670778688844
India,1177804,14146,4001.2051814649776
India,11591,4,1882.499301635148
India,2007605,26523,10729.588846557108
India,259167,4013,16338.345153664302
India,1277848,11046,2000.626279905347
India,1056770,10714,3746.787945778667
India,312820,4213,4197.82459770624
India,479513,4785,3524.1931690567326
India,442579,5331,1146.7575175258048
India,4074536,40312,6030.748984728049
India,6831358,71589,19135.755143294533
India,29425,231,10727.736073994947
India,11415,52,17717.17704760279
India,1054978,10777,1235.9311057719597
India,8138129,148424,6608.616142715846
India,139924,2149,4526.021778754635
India,96788,1625,2874.8540860365165
India,238969,726,19283.450232561143
India,35988,782,1599.6835126539374
India,1336717,9205,2883.569265852645
India,175872,1975,12441.936638600057
India,785724,19289,2606.7956492891017
India,1315637,9656,1623.5879818822252
India,44325,500,6421.577078483045
India,3595123,38049,4618.530939379494
India,841897,4111,2138.817498744752
India,108034,940,2590.8713955653443
India,0,0,
India,2128222,23648,894.6517659069191
India,449488,7753,3995.14419255847
India,2118857,21533,2127.167780704178
Indonesia,6738225,160941,2463.489250166076
Iran,7572311,144933,9015.412281075533
Iraq,2465545,25375,6129.765221224547
Ireland,1704502,8708,34519.49007208884
Israel,4803824,12329,55499.98550061747
Italy,651674,3931,49686.18002714284
Italy,199646,1021,35469.35432578451
Italy,631613,3347,32438.135903542185
Italy,2444797,11791,42139.37933968229
Italy,2136671,19283,47913.040026891045
Italy,575033,5998,47319.25083523971
Italy,2385069,12787,40568.7316489207
Italy,661284,5880,42645.87525150905
Italy,4118413,45558,40936.16328452035
Italy,714100,4399,46817.90973538473
Italy,101826,719,33318.17274562606
Italy,293808,1610,55194.0757216551
Italy,243951,1647,45057.79268513422
Italy,1719738,13828,39476.0727076402
Italy,1626850,9646,40377.97467543862
Italy,509829,2923,31094.88890827041
Italy,1817733,12692,36355.45254886556
Italy,1589964,11574,42630.4837382472
Italy,438301,2449,49693.14580817786
Italy,50448,567,40144.5100504512
Italy,2692762,16672,54888.75127551697
Jamaica,154416,3514,5214.711391916887
Japan,2100094,4285,27807.56806027987
Japan,199130,588,20603.42062514873
Japan,277922,640,22298.496996480186
Japan,1456535,3874,23269.629493774304
Japan,314430,683,23478.679674286803
Japan,198871,196,25896.785804043822
Japan,1579850,3164,30955.12080599113
Japan,401096,826,21733.506943033368
Japan,538509,1102,27107.24473682753
Japan,437760,1077,22536.417813324988
Japan,796053,1346,28388.115300852976
Japan,1333535,4532,25400.42959599044
Japan,1461481,3796,26736.739849877154
Japan,634322,1279,22176.71040206524
Japan,277113,501,24358.391735939644
Japan,233500,609,19033.009024988263
Japan,251256,613,26272.47223026789
Japan,439610,877,27436.64781220179
Japan,2207465,4249,23998.702799266124
Japan,168352,584,24118.195662357863
